,Company,TypeName,Inches,Cpu,Ram,Gpu,OpSys,Weight,Price,ScreenType,Resolution,TouchScreen,Cpu_Frequency,MemoryType,MemorySize
117,Dell,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,1130.33,IPS Panel,1920x1080,0,1.8,SSD and HDD,1256
118,Asus,Notebook,17.3,Intel Core i3,4,Nvidia,Windows 10,Light,564.0,,1920x1080,0,2.0,HDD,1000
119,Asus,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,1118.0,,1920x1080,0,1.8,SSD,256
120,Acer,Notebook,15.6,Intel Core i3,6,Intel,Windows 10,Light,479.0,IPS Panel,1920x1080,1,2.4,HDD,1000
121,MSI,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,2241.5,,1920x1080,0,2.8,SSD and HDD,2256
122,Lenovo,Notebook,15.6,Intel Core i5,8,Nvidia,No OS,Medium,629.0,,1920x1080,0,2.5,SSD,256
123,HP,Notebook,17.3,Intel Core i7,16,Nvidia,Windows 10,Heavy,1271.0,,1920x1080,0,1.8,SSD,512
124,Acer,Notebook,15.6,AMD,4,AMD,Windows 10,Light,451.0,,1366x768,0,3.0,SSD,256
125,HP,Notebook,15.6,Other Intel,4,Intel,No OS,Light,259.0,,1366x768,0,1.6,HDD,500
126,HP,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,Medium,812.0,,1920x1080,0,1.6,HDD,1000
127,Asus,Notebook,14.0,AMD,4,AMD,Windows 10 S,Light,277.99,,1366x768,0,1.5,SSD,64
128,Dell,Notebook,17.3,Intel Core i7,16,AMD,Windows 10,Heavy,1396.0,,1920x1080,0,1.8,SSD and HDD,2256
129,HP,Notebook,17.3,Intel Core i5,8,Intel,Windows 10,Medium,928.0,,1920x1080,0,1.6,SSD,256
130,Dell,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,Medium,638.99,,1366x768,0,2.5,HDD,1000
131,Dell,Notebook,15.6,Intel Core i3,4,AMD,Windows 10,Light,449.0,,1920x1080,0,2.0,HDD,1000
132,Acer,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,Medium,884.0,IPS Panel,1920x1080,0,1.8,SSD,256
133,Acer,Notebook,15.6,Intel Core i3,4,Nvidia,Windows 10,Light,572.0,,1920x1080,0,2.7,SSD,256
134,HP,Notebook,15.6,Intel Core i7,8,Intel,Windows 10,Medium,598.0,,1366x768,0,2.7,HDD,1000
135,HP,Notebook,14.0,Intel Core i7,8,Intel,Windows 10,Medium,988.0,,1920x1080,0,1.8,SSD,256
136,Lenovo,Notebook,15.6,Other Intel,4,Intel,No OS,Light,252.36,,1366x768,0,1.1,HDD,1000
137,Asus,Gaming,17.3,Intel Core i5,8,Nvidia,Windows 10,Medium,938.0,,1920x1080,0,2.5,SSD and HDD,1128
138,Lenovo,Notebook,15.6,Intel Core i5,4,Nvidia,No OS,Light,499.0,,1920x1080,0,2.5,HDD,1000
139,HP,Notebook,13.3,Intel Core i5,4,Intel,Windows 10,Light,699.0,IPS Panel,1920x1080,0,2.5,SSD,256
140,Acer,Notebook,17.3,Intel Core i3,4,Nvidia,Windows 10,Light,655.0,IPS Panel,1920x1080,0,2.7,HDD,1000
141,Lenovo,Notebook,14.0,Intel Core i5,8,AMD,Windows 10,Medium,1116.02,IPS Panel,1920x1080,0,1.6,SSD,256
142,Lenovo,Gaming,15.6,Intel Core i7,8,Nvidia,No OS,Medium,869.0,IPS Panel,1920x1080,0,2.8,SSD,256
143,Toshiba,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,Light,602.0,,1366x768,0,2.3,HDD,500
144,HP,Notebook,15.6,AMD,4,AMD,Windows 10,Light,369.0,,1366x768,0,2.5,SSD,256
145,Asus,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,Medium,1099.0,,1920x1080,0,1.8,SSD,256
146,HP,Ultrabook,12.5,Other Intel,8,Intel,Windows 10,Medium,2014.0,IPS Panel,3840x2160,1,1.2,SSD,512
147,Asus,Notebook,15.6,Other Intel,4,Intel,Windows 10,Light,344.0,,1920x1080,0,1.1,HDD,1000
148,MSI,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,Heavy,2029.0,,1920x1080,0,2.8,SSD and HDD,1256
149,Acer,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,Light,447.0,,1366x768,0,2.0,HDD,1000
150,Dell,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,1249.26,,1920x1080,0,2.8,SSD,512
151,Dell,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,899.0,,1920x1080,0,2.8,Hybrid,1000
152,Lenovo,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,Light,498.0,,1366x768,0,2.5,SSD,128
153,MSI,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,Heavy,1890.0,,1920x1080,0,2.8,SSD and HDD,1256
154,HP,Ultrabook,14.0,Intel Core i5,4,Intel,Windows 10,Light,1082.0,,1920x1080,0,2.7,SSD,256
155,HP,Notebook,15.6,Intel Core i5,6,AMD,Windows 10,Light,619.0,,1920x1080,0,1.6,SSD,256
156,Lenovo,2 in 1 Convertible,14.0,Intel Core i3,4,Intel,Windows 10,Light,629.0,IPS Panel,1920x1080,1,2.4,SSD,256
157,Asus,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,Medium,1315.0,,1920x1080,1,1.6,SSD,256
158,Dell,2 in 1 Convertible,15.6,Intel Core i7,8,Intel,Windows 10,Medium,1049.0,,1920x1080,1,1.8,SSD,256
159,Toshiba,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,Light,447.0,,1366x768,0,2.2,HDD,500
160,Asus,Notebook,15.6,AMD,4,AMD,Windows 10,Light,403.0,,1366x768,0,3.0,HDD,1000
161,Acer,Notebook,17.3,Intel Core i5,4,Nvidia,Windows 10,Light,805.0,IPS Panel,1920x1080,0,1.6,SSD,256
162,Dell,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,Medium,728.0,,1920x1080,0,1.6,SSD,256
163,Lenovo,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,1079.0,IPS Panel,1920x1080,0,2.8,SSD,256
164,Acer,Notebook,15.6,Other Intel,4,Intel,Windows 10,Light,348.0,,1366x768,0,1.1,HDD,1000
165,MSI,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,1799.0,IPS Panel,1920x1080,0,2.8,SSD and HDD,1256
166,Acer,Notebook,15.6,Other Intel,4,Intel,Windows 10,Light,363.51,,1366x768,0,1.1,HDD,1000
167,Dell,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,1060.49,,1920x1080,0,2.8,SSD and HDD,1128
168,Acer,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,Medium,854.0,IPS Panel,1920x1080,0,1.6,SSD,256
169,HP,Notebook,13.3,Intel Core i5,4,Intel,Windows 10,Light,754.0,IPS Panel,1920x1080,0,1.6,HDD,500
170,Huawei,Ultrabook,13.0,Intel Core i5,8,Intel,Windows 10,Medium,1349.0,IPS Panel,2160x1440,0,2.5,SSD,256
171,HP,Notebook,17.3,Intel Core i5,6,AMD,Windows 10,Light,699.0,IPS Panel,1920x1080,0,2.5,HDD,2000
172,Lenovo,Notebook,15.6,AMD,4,AMD,No OS,Light,309.0,,1366x768,0,2.9,HDD,500
173,Toshiba,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,Light,489.0,,1366x768,0,2.4,HDD,500
174,HP,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,Medium,923.0,,1920x1080,0,1.6,SSD,256
175,Dell,Notebook,15.6,Intel Core i3,8,Intel,Windows 10,Medium,459.0,,1366x768,0,2.4,HDD,1000
176,Acer,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,Light,449.0,,1366x768,0,2.0,SSD,128
177,MSI,Gaming,18.4,Intel Core i7,32,Nvidia,Windows 10,Heavy,2799.0,,1920x1080,0,2.9,SSD and HDD,1512
178,Lenovo,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,Medium,813.0,,1920x1080,0,2.5,SSD and HDD,1128
179,HP,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,Medium,1499.0,IPS Panel,3840x2160,1,1.6,SSD,256
180,Dell,Notebook,15.6,Intel Core i7,16,AMD,Linux,Heavy,1049.0,,1920x1080,0,1.8,SSD and HDD,2256
181,Dell,Ultrabook,13.3,Intel Core i5,8,Intel,Windows 10,Medium,1399.0,,1920x1080,0,1.6,SSD,256
182,Lenovo,2 in 1 Convertible,13.9,Intel Core i7,16,Intel,Windows 10,Heavy,1849.0,IPS Panel,3840x2160,1,1.8,SSD,512
183,Toshiba,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,Medium,793.0,,1366x768,0,2.5,SSD,128
184,Xiaomi,Notebook,15.6,Intel Core i5,8,Nvidia,No OS,Medium,1199.0,IPS Panel,1920x1080,0,1.6,SSD,256
185,Dell,Notebook,17.3,Intel Core i7,16,Nvidia,Windows 10,Heavy,1549.0,,1920x1080,1,1.8,SSD,512
186,Dell,Notebook,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,2397.0,,3840x2160,1,2.8,SSD,512
187,Lenovo,Gaming,15.6,Intel Core i5,8,Nvidia,No OS,Medium,779.0,IPS Panel,1920x1080,0,2.5,SSD,256
188,Acer,Ultrabook,13.3,Intel Core i5,8,Intel,Windows 10,Medium,989.0,IPS Panel,1920x1080,0,1.2,SSD,256
189,Dell,Notebook,17.3,Intel Core i7,8,AMD,Windows 10,Medium,1085.0,,1920x1080,0,1.8,SSD and HDD,1128
190,Lenovo,2 in 1 Convertible,14.0,Intel Core i7,16,Intel,Windows 10,Heavy,2824.0,,2560x1440,1,2.7,SSD,1000
191,Vero,Notebook,14.0,Other Intel,4,Intel,Windows 10,Light,260.0,IPS Panel,1920x1080,0,1.1,Flash Storage,32
192,Xiaomi,Ultrabook,13.3,Intel Core i5,8,Nvidia,No OS,Medium,999.9,IPS Panel,1920x1080,0,2.5,SSD,256
193,Lenovo,Notebook,17.3,Intel Core i5,8,Nvidia,No OS,Medium,698.0,,1600x900,0,1.6,SSD,256
194,Dell,2 in 1 Convertible,13.3,Intel Core i7,8,Intel,Windows 10,Medium,839.0,IPS Panel,1920x1080,1,1.8,HDD,1000
195,HP,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,Medium,914.0,IPS Panel,1920x1080,0,1.6,HDD,1000
196,Razer,Gaming,17.3,Intel Core i7,32,Nvidia,Windows 10,Heavy,6099.0,,3840x2160,1,2.9,SSD,1000
197,HP,Notebook,13.3,Intel Core i5,8,Intel,Windows 10,Medium,959.0,,1920x1080,0,1.6,SSD,512
198,HP,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,Heavy,1379.0,IPS Panel,1920x1080,0,2.8,SSD and HDD,1256
199,HP,Notebook,17.3,Intel Core i7,8,Nvidia,Windows 10,Medium,1045.0,,1920x1080,0,1.8,SSD,256
200,Dell,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,1845.0,IPS Panel,3840x2160,0,2.8,SSD and HDD,1512
201,Lenovo,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,Light,493.0,,1366x768,0,2.3,SSD,128
202,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,Medium,742.0,,1920x1080,0,2.7,HDD,1000
203,Lenovo,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,Heavy,1749.0,IPS Panel,1920x1080,0,2.8,SSD and HDD,1512
204,Dell,Workstation,15.6,Other Intel,16,Nvidia,Windows 10,Heavy,3055.0,,3840x2160,0,3.0,SSD and HDD,1256
205,Lenovo,Gaming,15.6,Intel Core i7,16,Nvidia,No OS,Heavy,1398.0,,1920x1080,0,2.8,SSD,512
206,Dell,Notebook,15.6,Intel Core i3,6,Intel,Windows 10,Light,439.0,,1366x768,1,2.4,HDD,1000
207,Dell,Ultrabook,13.3,Intel Core i7,8,Intel,Windows 10,Medium,1949.0,IPS Panel,3840x2160,1,1.8,SSD,256
208,Dell,Ultrabook,13.3,Intel Core i7,8,Intel,Windows 10,Medium,1449.0,,1920x1080,0,1.8,SSD,256
209,Lenovo,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,Medium,597.0,,1366x768,0,2.5,SSD,256
